"STNAME","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","total_votes","per_gop","Crude.Prevalence.Estimate","race"
"Arkansas","Independence County",38320,18919,19401,14011,78.6738990792948,25.5,92.8235908141963
"Arkansas","Izard County",14169,7514,6655,5925,81.9240506329114,24.1,94.3468134660174
"Arkansas","Jackson County",16784,8462,8322,4775,73.4869109947644,26,77.967111534795
"Arkansas","Jefferson County",63661,31668,31993,21608,39.1891891891892,21.4,39.0788708942681
"Arkansas","Johnson County",26129,13089,13040,9059,74.6881554255437,25.7,89.5059129702629
"Arkansas","Lafayette County",6095,2991,3104,2325,68.3440860215054,23.2,62.3625922887613
"Arkansas","Lawrence County",16318,8090,8228,5692,80.9557273366128,25.9,95.3854639048903
"Arkansas","Lee County",8201,4698,3503,2520,46.8650793650794,22,43.1410803560541
"Arkansas","Lincoln County",12898,8332,4566,3372,74.1992882562278,22.8,66.2971003256319
"Arkansas","Little River County",11805,5718,6087,4899,76.4237599510104,23.1,75.1122405760271
"Arkansas","Logan County",21400,10496,10904,8205,80.036563071298,25.3,93.1355140186916
"Arkansas","Lonoke County",75944,37582,38362,30620,75.8491182233834,24.1,88.617929000316
"Arkansas","Madison County",17775,8935,8840,7501,78.4562058392214,25.7,93.0126582278481
"Arkansas","Marion County",17514,8676,8838,7851,79.3529486689594,24.9,95.2209660842754
"Arkansas","Miller County",42415,21040,21375,15803,74.9351388976777,23.7,69.8172816220677
"Arkansas","Mississippi County",38663,19151,19512,10717,64.9715405430624,24.8,61.0480304166774
"Arkansas","Monroe County",6512,3094,3418,2433,56.9256062474312,23.2,55.3593366093366
"Arkansas","Montgomery County",8620,4282,4338,3707,80.5772862152684,24.1,93.3410672853828
"Arkansas","Nevada County",8120,4014,4106,2907,68.8682490540076,22.6,66.7610837438424
"Arkansas","Newton County",7071,3617,3454,3770,81.2466843501326,23.4,94.4562296704851
"Arkansas","Ouachita County",21793,10563,11230,8626,58.613494087642,22.6,56.3850777772679
"Arkansas","Perry County",10184,5170,5014,4584,77.6396160558464,24.3,93.7745483110762
"Arkansas","Phillips County",14961,6994,7967,4938,42.4868367760227,21.7,34.4495688790856
"Arkansas","Pike County",10208,5110,5098,4358,85.9568609453878,24.5,91.7221786833856
"Arkansas","Poinsett County",22397,10896,11501,7079,80.9577623958186,26.8,87.8153324105907
"Arkansas","Polk County",19436,9573,9863,8288,84.3026061776062,25,92.9769499897098
"Arkansas","Pope County",64593,32227,32366,24191,74.8956223388864,26.7,91.7173687551283
"Arkansas","Prairie County",8036,4078,3958,3200,82.125,23.2,86.9711299153808
"Arkansas","Pulaski County",400009,190958,209051,153924,37.6659910085497,22.1,56.3509821029027
"Arkansas","Randolph County",18907,9437,9470,6636,80.877034358047,25.9,92.0294070979002
"Arkansas","St. Francis County",22101,12217,9884,5979,48.6536210068573,21.7,42.8532645581648
"Arkansas","Saline County",129574,63362,66212,57609,68.9753337152181,23.2,85.6406377822711
"Arkansas","Scott County",9851,5067,4784,3384,86.0815602836879,24.7,90.1735864379251
"Arkansas","Searcy County",7806,3962,3844,3869,85.42258981649,25.7,94.5426594926979
"Arkansas","Sebastian County",129098,63631,65467,45452,67.5855847927484,24.8,81.2483539636555
"Arkansas","Sevier County",15632,7901,7731,4714,80.0169707254985,24.1,86.6619754350051
"Arkansas","Sharp County",17968,8854,9114,7437,80.3818744117252,24.9,94.7907390917186
"Arkansas","Stone County",12671,6332,6339,6030,79.7346600331675,25.9,95.7383000552443
"Arkansas","Union County",37397,18269,19128,15448,66.0020714655619,23.3,63.8714335374495
"Arkansas","Van Buren County",16142,8099,8043,7621,79.0316231465687,24.4,95.415685788626
"Arkansas","Washington County",261549,131163,130386,97158,51.7126742007863,23.6,85.1266875422961
"Arkansas","White County",78452,38639,39813,30837,79.4954113564873,26.4,91.2583490541987
"Arkansas","Woodruff County",5964,2902,3062,2318,65.2717860224331,24,71.3950368879946
"Arkansas","Yell County",20044,10063,9981,6477,79.465802068859,24.3,92.5912991418878
"California","Alameda County",1622188,804487,817701,669800,21.0195580770379,13.6,47.1209872098672
"California","Alpine County",1141,631,510,738,32.9268292682927,17.6,68.624014022787
"California","Amador County",41811,22825,18986,22402,62.5747701098116,17.7,88.436057496831
"California","Butte County",207172,102816,104356,94523,49.9127196555336,19.6,83.8694418164617
"California","Calaveras County",46565,23285,23280,26479,62.7856036859398,18.4,89.7755825190594
"California","Colusa County",22037,11267,10770,7021,62.8685372454066,17.8,90.3843535871489
"California","Contra Costa County",1155025,567518,587507,528904,29.3641190083645,15.4,62.3504253154694
"California","Del Norte County",26589,14094,12495,10564,56.7872018174934,19.2,77.7238707736282
"California","El Dorado County",192215,96129,96086,111890,54.6152471177049,17.8,87.1586504695263
"California","Fresno County",1017162,509699,507463,325994,50.8978692859378,18.1,74.9175647536971
"California","Glenn County",28129,14343,13786,10442,66.1176019919556,18.9,88.7909275125316
"California","Humboldt County",133985,66286,67699,64228,33.5663573519337,20,82.2890622084562
"California","Imperial County",179057,91745,87312,54025,49.1365108745951,16.7,90.0668502208794
"California","Inyo County",18527,9378,9149,8951,49.9162104792761,17.4,78.6689696119177
"California","Kern County",913820,463449,450371,283246,59.269680772191,18.6,81.4348558797137
"California","Kings County",152682,84334,68348,41501,60.4178212573191,17.6,80.9119608074298
"California","Lake County",67878,33955,33923,26759,49.1834522964236,20,85.9468458116032
"California","Lassen County",28861,17318,11543,11371,75.7980828423182,18.6,81.4767333079242
"California","Los Angeles County",9663345,4780566,4882779,3728427,31.9132438425105,16,69.5932102186148
"California","Madera County",162858,79617,83241,54624,59.2120679554774,18.8,84.9322722862862
"California","Marin County",254407,125185,129222,144113,16.6910688140556,15.9,84.248074935045
"California","Mariposa County",16919,8539,8380,9509,59.1544852245241,18.3,88.616348483953
"California","Mendocino County",89108,44211,44897,39216,34.4961240310078,18.4,85.6802980652691
"California","Merced County",291920,147916,144004,86392,50.878553569775,17.8,81.3363250205536
"California","Modoc County",8500,4220,4280,4016,71.8127490039841,18.9,86.4941176470588
"California","Mono County",13066,6968,6098,6064,37.8298153034301,17.9,89.5377315169141
"California","Monterey County",430723,218610,212113,146718,33.5514388145967,16.8,82.9287035983683
"California","Napa County",133216,66867,66349,65549,31.0561564631039,16.7,82.8871907278405
"California","Nevada County",102037,50382,51655,62132,42.13126891135,18.2,92.386095239962
"California","Orange County",3135755,1551761,1583994,1390965,47.0763103313167,15,68.6548853465912
"California","Placer County",423561,208276,215285,234809,52.7837519004808,16.7,80.6882597784026
"California","Plumas County",19131,9579,9552,10067,56.8689778484156,18.4,90.3768752286864
"California","Riverside County",2492442,1250461,1241981,940405,49.3060968412546,17.8,77.9614530649058
"California","Sacramento County",1584288,779811,804477,656626,38.3993323444396,16.8,60.3191465188148
"California","San Benito County",68175,34359,33816,27649,42.3234113349488,16.9,84.5016501650165
"California","San Bernardino County",2195611,1098517,1097094,761714,49.6795385144556,16.9,74.7913906425136
"California","San Diego County",3269973,1652157,1617816,1477786,40.1458668575829,16.7,74.0231188453238
"California","San Francisco County",808988,415327,393661,402964,15.5333975243446,14,50.8414216280093
"California","San Joaquin County",800965,400848,400117,263671,48.9230897595868,16,62.6991191874801
"California","San Luis Obispo County",281639,141957,139682,150766,43.068065744266,18.1,88.2597935655218
"California","San Mateo County",726353,361456,364897,330510,23.1811442921545,13.4,56.877303459888
"California","Santa Barbara County",441257,220589,220668,184715,35.1189670573586,17.4,85.0710583628135
"California","Santa Clara County",1877592,955978,921614,750433,28.1069729076413,12.6,49.1608400547084
"California","Santa Cruz County",261547,130355,131192,134135,20.8580907294889,17.7,86.3913560469055
"California","Shasta County",180366,88769,91597,88900,66.9730033745782,19.5,86.4214985085881
"California","Sierra County",3200,1609,1591,1754,60.7753705815279,18.3,92.46875
"California","Siskiyou County",42905,21417,21488,21489,57.9878077155754,19.3,84.9155110127025
"California","Solano County",449218,224172,225046,189834,37.0560595046198,16.3,58.0844934975891
"California","Sonoma County",481812,236883,244929,251426,25.2265079983773,17.2,85.5032668343669
"California","Stanislaus County",551430,274874,276556,197472,54.177807486631,18,81.8308760858133
"California","Sutter County",97948,48970,48978,39336,64.5007118161481,17.2,70.4874014783354
"California","Tehama County",64896,32374,32522,26532,69.7384290667873,19.5,89.5617603550296
"California","Trinity County",15670,8063,7607,5645,52.7723649247121,19.1,85.8710912571793
"California","Tulare County",479468,239955,239513,138271,59.1982411351621,18.2,87.5238806343698
"California","Tuolumne County",54204,27905,26299,28810,59.7362027073933,18.3,89.7442993137038
"California","Ventura County",829590,412112,417478,387595,40.9966588836285,16.6,83.1522800419484
"California","Yolo County",220544,106945,113599,92589,30.0726868202486,17.5,71.9207958502612
"California","Yuba County",85722,43534,42188,30070,61.493182573994,19.1,75.1079069550407
"Colorado","Adams County",533365,270868,262497,233336,44.1526382555628,18.4,84.3782400419975
"Colorado","Alamosa County",16655,8219,8436,7519,53.9566431706344,19.8,86.06424497148
"Colorado","Arapahoe County",656061,327086,328975,325451,38.5037993430655,18.4,75.0081166233018
"Colorado","Archuleta County",14189,7034,7155,9355,55.7776590058792,17.8,91.5638875185002
"Colorado","Baca County",3344,1691,1653,2004,84.1317365269461,20.4,92.1650717703349
"Colorado","Bent County",5681,3638,2043,2189,68.3417085427136,17.8,84.9322302411547
"Colorado","Boulder County",326831,164663,162168,196150,20.7789956665817,18.9,89.4404141589996
"Colorado","Broomfield County",76860,38812,38048,46817,34.32727428071,18.2,86.4715066354411
"Colorado","Chaffee County",20617,10893,9724,14416,41.8562708102109,19.1,93.0397244991997
"Colorado","Cheyenne County",1727,865,862,1055,88.1516587677725,19.3,92.5883034163289
"Colorado","Clear Creek County",9147,4800,4347,6101,40.1901327651205,18.7,93.0031704383951
"Colorado","Conejos County",7521,3823,3698,4104,57.4561403508772,18.4,89.6556309001462
"Colorado","Costilla County",3628,1886,1742,2080,40.8653846153846,17.6,84.2061742006615
"Colorado","Crowley County",5636,4151,1485,1706,72.1570926143025,17.7,81.4229950319375
"Colorado","Custer County",5534,2754,2780,3867,66.7959658650116,18.4,94.6693169497651
"Colorado","Delta County",31746,15806,15940,19476,66.4818237831177,20.9,94.3803943803944
"Colorado","Denver County",716577,361467,355110,363076,20.5921074375613,20.5,79.9540035474206
"Colorado","Dolores County",2513,1385,1128,1419,75.8280479210712,18.4,92.041384799045
"Colorado","Douglas County",383906,193453,190453,243758,52.2858736944018,16.6,87.5670085906446
"Colorado","Eagle County",54381,28770,25611,27798,36.5062234693143,18,93.7202331696732
"Colorado","Elbert County",28806,14692,14114,20417,74.4918450311015,19.1,93.3694369228633
"Colorado","El Paso County",744215,378172,366043,380813,53.5520058401368,20.6,82.3432744569782
"Colorado","Fremont County",50318,29359,20959,25467,67.9820944752032,19.2,90.7826225207679
"Colorado","Garfield County",62707,32314,30393,30372,47.718293164757,18.5,93.291020141292
"Colorado","Gilpin County",5926,3131,2795,4129,41.8745458948898,18.8,90.7019912251097
"Colorado","Grand County",15935,8563,7372,9883,48.7908529798644,19.3,94.3708817069344
"Colorado","Gunnison County",17321,9399,7922,10939,33.723375079989,19.6,93.0662201951389
"Colorado","Hinsdale County",765,411,354,606,54.7854785478548,18.8,93.7254901960784
"Colorado","Huerfano County",7055,3574,3481,4438,52.8616493916178,17.8,87.8951098511694
"Colorado","Jackson County",1309,711,598,834,76.0191846522782,19.3,94.4996180290298
"Colorado","Jefferson County",576366,290060,286306,361504,38.8667898557139,18.2,90.7216942012541
"Colorado","Kiowa County",1384,695,689,863,86.2108922363847,20.4,95.2312138728324
"Colorado","Kit Carson County",6994,3528,3466,3698,83.3693888588426,20.1,93.7803831855877
"Colorado","Lake County",7365,3929,3436,3911,39.8107900792636,18.7,91.826205023761
"Colorado","La Plata County",56407,28581,27826,35681,39.3038311706511,19.6,88.1114046129027
"Colorado","Larimer County",370771,185075,185696,225482,39.772576081461,21.2,91.6795002845422
"Colorado","Las Animas County",14348,7464,6884,7792,55.5441478439425,18.3,89.2040702536939
"Colorado","Lincoln County",5480,3150,2330,2571,81.2913263321665,18.9,88.7043795620438
"Colorado","Logan County",20619,11529,9090,10162,77.2977760283409,19,91.2313885251467
"Colorado","Mesa County",159681,79279,80402,91600,60.9596069868996,20.6,93.5164484190354
"Colorado","Mineral County",944,491,453,753,55.3784860557769,17.9,96.5042372881356
"Colorado","Moffat County",13327,6934,6393,6671,80.3177934342677,20.2,94.0196593381856
"Colorado","Montezuma County",26531,13162,13369,15136,59.2758985200846,20.1,81.6365760808111
"Colorado","Montrose County",44156,21934,22222,25617,65.20669867666,19.5,93.9487272397862
"Colorado","Morgan County",29524,15245,14279,13458,73.0420567692079,19.4,89.8489364584745
"Colorado","Otero County",18136,8950,9186,8925,61.8487394957983,20.7,90.0915306572563
"Colorado","Ouray County",5176,2604,2572,4098,38.3845778428502,17.9,95.3245749613601
"Colorado","Park County",18117,9669,8448,12044,56.6921288608436,19.1,93.5474968261854
"Colorado","Phillips County",4476,2298,2178,2354,80.2039082412914,19.3,95.1966041108132
"Colorado","Pitkin County",16640,8657,7983,11167,26.7932300528342,18,93.9783653846154
"Colorado","Prowers County",11751,5902,5849,5144,74.5139968895801,19.5,93.5069355799506
"Colorado","Pueblo County",169422,84176,85246,85107,51.3330278355482,20.6,88.8863311730472
"Colorado","Rio Blanco County",6569,3370,3199,3690,80.9756097560976,20.3,93.1496422590958
"Colorado","Rio Grande County",11188,5602,5586,6194,60.4294478527607,18.2,91.5534501251341
"Colorado","Routt County",25064,13103,11961,16335,34.7474747474747,18.6,95.315991062879
"Colorado","Saguache County",6688,3357,3331,3400,46.3823529411765,19.2,90.4306220095694
"Colorado","San Juan County",802,436,366,588,31.9727891156463,18.7,95.2618453865337
"Colorado","San Miguel County",7868,4227,3641,4804,24.0216486261449,18.6,93.7214031520081
"Colorado","Sedgwick County",2299,1158,1141,1358,77.1723122238586,19.5,92.5184862983906
"Colorado","Summit County",30465,16570,13895,17542,29.8939687606886,18.2,93.4482192680125
"Colorado","Teller County",24617,12571,12046,16326,66.4951610927355,18.5,93.0860787260836
"Colorado","Washington County",4855,2549,2306,2806,86.8139700641483,19.8,94.8094747682801
"Colorado","Weld County",359442,182555,176887,179854,59.1974601621315,19.7,91.3237740720339
"Colorado","Yuma County",9862,5007,4855,4663,81.6427192794338,19.7,95.5282904076252
"Delaware","Kent County",189789,91084,98705,88141,48.1705449223403,18.3,62.3223685250462
"Delaware","New Castle County",578592,280456,298136,275917,32.9330921980161,17.2,62.1247787732979
"Delaware","Sussex County",263509,127608,135901,147639,54.8804855085716,15.5,83.247251517026
"District of Columbia","District of Columbia",678972,321715,357257,40463,5.08118528037961,20.4,46.6039836694297
"Florida","Alachua County",285994,137792,148202,136548,38.7695169464218,18.9,69.825590746659
"Florida","Baker County",28368,14558,13810,14977,86.3056686919944,20.2,83.1253525098703
"Florida","Bay County",190769,94633,96136,97775,73.124009204807,20.9,81.0530012737919
"Florida","Bradford County",27858,14747,13111,13932,78.380706287683,19.7,78.3975877665303
"Florida","Brevard County",643979,317674,326305,361449,59.9069301616549,18.6,82.2480236156769
"Florida","Broward County",1962531,963118,999413,874526,41.0453205507898,15.9,62.352390866692
"Florida","Calhoun County",13470,7282,6188,6428,83.4940883634101,20.4,81.9896065330364
"Florida","Charlotte County",206134,101468,104666,123674,66.6914630399276,17.6,90.092367101012
"Florida","Citrus County",166696,81249,85447,98233,72.6395406838842,20.2,92.2751595719153
"Florida","Clay County",232439,114818,117621,126806,69.1694399318644,19.9,78.0114352582828
"Florida","Collier County",404310,199175,205135,216363,66.2160350891788,15.2,88.9968093789419
"Florida","Columbia County",73063,37316,35747,33592,74.7439866634913,20.9,77.9245308843053
"Florida","DeSoto County",35979,20141,15838,12488,71.1723254324151,18.2,83.6293393368354
"Florida","Dixie County",17465,9541,7924,8148,84.9288168875798,21.1,87.0598339536215
"Florida","Duval County",1030822,499527,531295,471268,50.1381379597172,18.8,59.9589453853333
"Florida","Escambia County",326928,161010,165918,162754,59.2347960726004,20.9,68.8420692017814
"Florida","Flagler County",131439,63667,67772,79963,63.7970061153283,19.4,83.9408394768676
"Florida","Franklin County",12594,6728,5866,6758,71.4856466410181,19.3,86.2950611402255
"Florida","Gadsden County",43833,20952,22881,21868,34.2738247667825,18.1,42.5159126685374
"Florida","Gilchrist County",19587,10020,9567,10686,83.5766423357664,20.7,92.6532904477459
"Florida","Glades County",12786,7355,5431,5279,76.4159878764918,18.9,77.1938057250117
"Florida","Gulf County",15693,8601,7092,8697,76.8540876164194,19.4,82.0684381571401
"Florida","Hamilton County",13471,7333,6138,5733,69.1435548578406,19.1,65.1176601588598
"Florida","Hardee County",25760,13758,12002,8143,77.8091612427852,19.8,86.4052795031056
"Florida","Hendry County",43333,23585,19748,13460,68.7444279346211,18.3,82.6529434841807
"Florida","Hernando County",212807,103457,109350,110687,68.161572723084,19.3,88.3518869210129
"Florida","Highlands County",107614,52739,54875,51905,70.0934399383489,18.4,84.4444031445723
"Florida","Hillsborough County",1535564,756860,778704,671981,50.8968259519242,17.1,72.56551990018
"Florida","Holmes County",19944,10538,9406,9116,89.8749451513822,21.7,88.4225832330525
"Florida","Indian River County",169795,82183,87612,99015,63.3611069029945,16.9,86.7139786212786
"Florida","Jackson County",48622,26510,22112,22098,72.7396144447461,20.1,70.0978980708321
"Florida","Jefferson County",15450,8129,7321,8502,58.9390731592567,18.4,65.8576051779935
